,Model##other##,Description##other##,Left Storage Tower##other##,Right Storage Tower##other##,Has Double Doors##other##
"Left Upper Shelves & Lower Door, Right Full Wardrobe, File File",ZXOS108741FF4L,"Stor Wall w/R Stor Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,FF,Full Wdrb-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,Storage-Unit-Teknion-Tower : Full Wardrobe,0
"Left Upper Shelves & Lower Door, Right Upper Wardrobe & Lower Door, File File ",ZXOS108741FF5L,"Stor Wall w/R Stor Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,FF,Up Wdrb & Low Dr-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,0
"Left Upper Shelves & Lower Door, Right Upper Wardrobe & File File Pedestal, File File",ZXOS108741FF6L,"Stor Wall w/R Stor Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,FF,Up Wdrb & FF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal,0
"Left Upper Shelves & Lower Door, Right Upper Wardrobe & Box Box File Pedestal, File File",ZXOS108741FF7L,"Stor Wall w/R Stor Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,FF,Up Wdrb & BBF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal,0
"Left Upper Shelves & File/File Pedestal, Right Upper Shelves & Lower Door,  Double Doors",ZXOS108742DD1L,"Stor Wall w/R Stor Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,Dbl Drs,Up Shlvs & Low Dr-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,1
"Left Upper Shelves & File/File Pedestal, Right Upper Shelves & File File Pedestal, Double Doors",ZXOS108742DD2L,"Stor Wall w/R Stor Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,Dbl Drs,Up Shlvs & FF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,1
"Left Upper Shelves & File/File Pedestal, Right Upper Shelves & Box Box File Pedestal, Double Doors",ZXOS108742DD3L,"Stor Wall w/R Stor Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,Dbl Drs,Up Shlvs & BBF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,1
"Left Upper Shelves & File/File Pedestal, Right Full Wardrobe, Double Doors",ZXOS108742DD4L,"Stor Wall w/R Stor Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,Dbl Drs,Full Wdrb-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Full Wardrobe,1
"Left Upper Shelves & File/File Pedestal, Right Upper Wardrobe & Lower Door, Double Doors",ZXOS108742DD5L,"Stor Wall w/R Stor Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,Dbl Drs,Up Wdrb & Low Dr-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,1
"Left Upper Shelves & File/File Pedestal, Right Upper Wardrobe & File File Pedestal, Double Doors",ZXOS108742DD6L,"Stor Wall w/R Stor Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,Dbl Drs,Up Wdrb & FF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal,1
"Left Upper Shelves & File/File Pedestal, Right Upper Wardrobe & Box Box File Pedestal, Double Doors",ZXOS108742DD7L,"Stor Wall w/R Stor Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,Dbl Drs,Up Wdrb & BBF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal,1
"Left Upper Shelves & File/File Pedestal, Right Upper Shelves & Lower Door, File File ",ZXOS108742FF1L,"Stor Wall w/R Stor Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,FF,Up Shlvs & Low Dr-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,0
"Left Upper Shelves & File/File Pedestal, Right Upper Shelves & File File Pedestal, File File",ZXOS108742FF2L,"Stor Wall w/R Stor Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,FF,Up Shlvs & FF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,0
"Left Upper Shelves & File/File Pedestal, Right Upper Shelves & Box Box File Pedestal, File File",ZXOS108742FF3L,"Stor Wall w/R Stor Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,FF,Up Shlvs & BBF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,0
"Left Upper Shelves & File/File Pedestal, Right Full Wardrobe, File File",ZXOS108742FF4L,"Stor Wall w/R Stor Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,FF,Full Wdrb-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Full Wardrobe,0
"Left Upper Shelves & File/File Pedestal, Right Upper Wardrobe & Lower Door, File File ",ZXOS108742FF5L,"Stor Wall w/R Stor Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,FF,Up Wdrb & Low Dr-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,0
"Left Upper Shelves & File/File Pedestal, Right Upper Wardrobe & File File Pedestal, File File",ZXOS108742FF6L,"Stor Wall w/R Stor Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,FF,Up Wdrb & FF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal,0
"Left Upper Shelves & File/File Pedestal, Right Upper Wardrobe & Box Box File Pedestal, File File",ZXOS108742FF7L,"Stor Wall w/R Stor Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,FF,Up Wdrb & BBF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal,0
"Left Upper Shelves & Box/Box/File Pedestal,Right Upper Shelves & Lower Door,  Double Doors, Double Door",ZXOS108743DD1L,"Stor Wall w/R Stor Int,108""wx74""h,Up Shlvs & BBF Ped-L Twr Stor,Dbl Drs,Up Shlvs & Low Dr-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,1
"Left Upper Shelves & Box/Box/File Pedestal,Right Upper Shelves & File File Pedestal, Double Doors",ZXOS108743DD2L,"Stor Wall w/R Stor Int,108""wx74""h,Up Shlvs & BBF Ped-L Twr Stor,Dbl Drs,Up Shlvs & FF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,1
"Left Upper Shelves & Box/Box/File Pedestal,Right Upper Shelves & Box Box File Pedestal, Double Doors",ZXOS108743DD3L,"Stor Wall w/R Stor Int,108""wx74""h,Up Shlvs & BBF Ped-L Twr Stor,Dbl Drs,Up Shlvs & BBF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,1
"Left Upper Shelves & Box/Box/File Pedestal,Right Full Wardrobe, Double Doors",ZXOS108743DD4L,"Stor Wall w/R Stor Int,108""wx74""h,Up Shlvs & BBF Ped-L Twr Stor,Dbl Drs,Full Wdrb-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,Storage-Unit-Teknion-Tower : Full Wardrobe,1
"Left Upper Shelves & Box/Box/File Pedestal,Right Upper Wardrobe & Lower Door, Double Doors",ZXOS108743DD5L,"Stor Wall w/R Stor Int,108""wx74""h,Up Shlvs & BBF Ped-L Twr Stor,Dbl Drs,Up Wdrb & Low Dr-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,1
"Left Upper Shelves & Box/Box/File Pedestal,Right Upper Wardrobe & File File Pedestal, Double Doors",ZXOS108743DD6L,"Stor Wall w/R Stor Int,108""wx74""h,Up Shlvs & BBF Ped-L Twr Stor,Dbl Drs,Up Wdrb & FF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal,1
"Left Upper Shelves & Box/Box/File Pedestal,Right Upper Wardrobe & Box Box File Pedestal, Double Doors",ZXOS108743DD7L,"Stor Wall w/R Stor Int,108""wx74""h,Up Shlvs & BBF Ped-L Twr Stor,Dbl Drs,Up Wdrb & BBF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal,1
"Left Upper Shelves & Box/Box/File Pedestal,Right Upper Shelves & Lower Door, File File ",ZXOS108743FF1L,"Stor Wall w/R Stor Int,108""wx74""h,Up Shlvs & BBF Ped-L Twr Stor,FF,Up Shlvs & Low Dr-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,0
"Left Upper Shelves & Box/Box/File Pedestal,Right Upper Shelves & File File Pedestal, File File",ZXOS108743FF2L,"Stor Wall w/R Stor Int,108""wx74""h,Up Shlvs & BBF Ped-L Twr Stor,FF,Up Shlvs & FF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,0
"Left Upper Shelves & Box/Box/File Pedestal,Right Upper Shelves & Box Box File Pedestal, File File",ZXOS108743FF3L,"Stor Wall w/R Stor Int,108""wx74""h,Up Shlvs & BBF Ped-L Twr Stor,FF,Up Shlvs & BBF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,0
"Left Upper Shelves & Box/Box/File Pedestal,Right Full Wardrobe, File File",ZXOS108743FF4L,"Stor Wall w/R Stor Int,108""wx74""h,Up Shlvs & BBF Ped-L Twr Stor,FF,Full Wdrb-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,Storage-Unit-Teknion-Tower : Full Wardrobe,0
"Left Upper Shelves & Box/Box/File Pedestal,Right Upper Wardrobe & Lower Door, File File ",ZXOS108743FF5L,"Stor Wall w/R Stor Int,108""wx74""h,Up Shlvs & BBF Ped-L Twr Stor,FF,Up Wdrb & Low Dr-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,0
"Left Upper Shelves & Box/Box/File Pedestal,Right Upper Wardrobe & File File Pedestal, File File",ZXOS108743FF6L,"Stor Wall w/R Stor Int,108""wx74""h,Up Shlvs & BBF Ped-L Twr Stor,FF,Up Wdrb & FF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal,0
"Left Upper Shelves & Box/Box/File Pedestal,Right Upper Wardrobe & Box Box File Pedestal, File File",ZXOS108743FF7L,"Stor Wall w/R Stor Int,108""wx74""h,Up Shlvs & BBF Ped-L Twr Stor,FF,Up Wdrb & BBF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal,0
"Left Full Wardrobe,Right Upper Shelves & Lower Door,  Double Doors, Double Door",ZXOS108744DD1L,"Stor Wall w/R Stor Int,108""wx74""h,Full Wdrb-L Twr Stor,Dbl Drs,Up Shlvs & Low Dr-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Full Wardrobe,Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,1
"Left Full Wardrobe,Right Upper Shelves & File File Pedestal, Double Doors",ZXOS108744DD2L,"Stor Wall w/R Stor Int,108""wx74""h,Full Wdrb-L Twr Stor,Dbl Drs,Up Shlvs & FF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Full Wardrobe,Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,1
"Left Full Wardrobe,Right Upper Shelves & Box Box File Pedestal, Double Doors",ZXOS108744DD3L,"Stor Wall w/R Stor Int,108""wx74""h,Full Wdrb-L Twr Stor,Dbl Drs,Up Shlvs & BBF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Full Wardrobe,Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,1
"Left Full Wardrobe,Right Full Wardrobe, Double Doors",ZXOS108744DD4L,"Stor Wall w/R Stor Int,108""wx74""h,Full Wdrb-L Twr Stor,Dbl Drs,Full Wdrb-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Full Wardrobe,Storage-Unit-Teknion-Tower : Full Wardrobe,1
"Left Full Wardrobe,Right Upper Wardrobe & Lower Door, Double Doors",ZXOS108744DD5L,"Stor Wall w/R Stor Int,108""wx74""h,Full Wdrb-L Twr Stor,Dbl Drs,Up Wdrb & Low Dr-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Full Wardrobe,Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,1
"Left Full Wardrobe,Right Upper Wardrobe & File File Pedestal, Double Doors",ZXOS108744DD6L,"Stor Wall w/R Stor Int,108""wx74""h,Full Wdrb-L Twr Stor,Dbl Drs,Up Wdrb & FF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Full Wardrobe,Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal,1
"Left Full Wardrobe,Right Upper Wardrobe & Box Box File Pedestal, Double Doors",ZXOS108744DD7L,"Stor Wall w/R Stor Int,108""wx74""h,Full Wdrb-L Twr Stor,Dbl Drs,Up Wdrb & BBF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Full Wardrobe,Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal,1
"Left Full Wardrobe,Right Upper Shelves & Lower Door, File File ",ZXOS108744FF1L,"Stor Wall w/R Stor Int,108""wx74""h,Full Wdrb-L Twr Stor,FF,Up Shlvs & Low Dr-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Full Wardrobe,Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,0
"Left Full Wardrobe,Right Upper Shelves & File File Pedestal, File File",ZXOS108744FF2L,"Stor Wall w/R Stor Int,108""wx74""h,Full Wdrb-L Twr Stor,FF,Up Shlvs & FF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Full Wardrobe,Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,0
"Left Full Wardrobe,Right Upper Shelves & Box Box File Pedestal, File File",ZXOS108744FF3L,"Stor Wall w/R Stor Int,108""wx74""h,Full Wdrb-L Twr Stor,FF,Up Shlvs & BBF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Full Wardrobe,Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,0
"Left Full Wardrobe,Right Full Wardrobe, File File",ZXOS108744FF4L,"Stor Wall w/R Stor Int,108""wx74""h,Full Wdrb-L Twr Stor,FF,Full Wdrb-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Full Wardrobe,Storage-Unit-Teknion-Tower : Full Wardrobe,0
"Left Full Wardrobe,Right Upper Wardrobe & Lower Door, File File ",ZXOS108744FF5L,"Stor Wall w/R Stor Int,108""wx74""h,Full Wdrb-L Twr Stor,FF,Up Wdrb & Low Dr-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Full Wardrobe,Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,0
"Left Full Wardrobe,Right Upper Wardrobe & File File Pedestal, File File",ZXOS108744FF6L,"Stor Wall w/R Stor Int,108""wx74""h,Full Wdrb-L Twr Stor,FF,Up Wdrb & FF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Full Wardrobe,Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal,0
"Left Full Wardrobe,Right Upper Wardrobe & Box Box File Pedestal, File File",ZXOS108744FF7L,"Stor Wall w/R Stor Int,108""wx74""h,Full Wdrb-L Twr Stor,FF,Up Wdrb & BBF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Full Wardrobe,Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal,0
"Left Upper Wardrobe & Lower Door,Right Upper Shelves & Lower Door,  Double Doors, Double Door",ZXOS108745DD1L,"Stor Wall w/R Stor Int,108""wx74""h,Up Wdrb & Low Dr-L Twr Stor,Dbl Drs,Up Shlvs & Low Dr-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,1
"Left Upper Wardrobe & Lower Door,Right Upper Shelves & File File Pedestal, Double Doors",ZXOS108745DD2L,"Stor Wall w/R Stor Int,108""wx74""h,Up Wdrb & Low Dr-L Twr Stor,Dbl Drs,Up Shlvs & FF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,1
"Left Upper Wardrobe & Lower Door,Right Upper Shelves & Box Box File Pedestal, Double Doors",ZXOS108745DD3L,"Stor Wall w/R Stor Int,108""wx74""h,Up Wdrb & Low Dr-L Twr Stor,Dbl Drs,Up Shlvs & BBF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,1
"Left Upper Wardrobe & Lower Door,Right Full Wardrobe, Double Doors",ZXOS108745DD4L,"Stor Wall w/R Stor Int,108""wx74""h,Up Wdrb & Low Dr-L Twr Stor,Dbl Drs,Full Wdrb-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,Storage-Unit-Teknion-Tower : Full Wardrobe,1
"Left Upper Wardrobe & Lower Door,Right Upper Wardrobe & Lower Door, Double Doors",ZXOS108745DD5L,"Stor Wall w/R Stor Int,108""wx74""h,Up Wdrb & Low Dr-L Twr Stor,Dbl Drs,Up Wdrb & Low Dr-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,1
"Left Upper Wardrobe & Lower Door,Right Upper Wardrobe & File File Pedestal, Double Doors",ZXOS108745DD6L,"Stor Wall w/R Stor Int,108""wx74""h,Up Wdrb & Low Dr-L Twr Stor,Dbl Drs,Up Wdrb & FF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal,1
"Left Upper Wardrobe & Lower Door,Right Upper Wardrobe & Box Box File Pedestal, Double Doors",ZXOS108745DD7L,"Stor Wall w/R Stor Int,108""wx74""h,Up Wdrb & Low Dr-L Twr Stor,Dbl Drs,Up Wdrb & BBF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal,1
"Left Upper Wardrobe & Lower Door,Right Upper Shelves & Lower Door, File File ",ZXOS108745FF1L,"Stor Wall w/R Stor Int,108""wx74""h,Up Wdrb & Low Dr-L Twr Stor,FF,Up Shlvs & Low Dr-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,0
"Left Upper Wardrobe & Lower Door,Right Upper Shelves & File File Pedestal, File File",ZXOS108745FF2L,"Stor Wall w/R Stor Int,108""wx74""h,Up Wdrb & Low Dr-L Twr Stor,FF,Up Shlvs & FF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,0
"Left Upper Wardrobe & Lower Door,Right Upper Shelves & Box Box File Pedestal, File File",ZXOS108745FF3L,"Stor Wall w/R Stor Int,108""wx74""h,Up Wdrb & Low Dr-L Twr Stor,FF,Up Shlvs & BBF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,0
"Left Upper Wardrobe & Lower Door,Right Full Wardrobe, File File",ZXOS108745FF4L,"Stor Wall w/R Stor Int,108""wx74""h,Up Wdrb & Low Dr-L Twr Stor,FF,Full Wdrb-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,Storage-Unit-Teknion-Tower : Full Wardrobe,0
"Left Upper Wardrobe & Lower Door,Right Upper Wardrobe & Lower Door, File File ",ZXOS108745FF5L,"Stor Wall w/R Stor Int,108""wx74""h,Up Wdrb & Low Dr-L Twr Stor,FF,Up Wdrb & Low Dr-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,0
"Left Upper Wardrobe & Lower Door,Right Upper Wardrobe & File File Pedestal, File File",ZXOS108745FF6L,"Stor Wall w/R Stor Int,108""wx74""h,Up Wdrb & Low Dr-L Twr Stor,FF,Up Wdrb & FF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal,0
