;Model##other##;Description##other##;Left Storage Tower##other##;Right Storage Tower##other##
Left Upper Shelves & File File Pedestal, Right Full Wardrobe;ZXDO1087424L;"Stor Wall w/Open Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,Full Wdrb-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;Storage-Unit-Teknion-Tower : Full Wardrobe
Left Upper Shelves & File File Pedestal, Right Upper Wardrobe & Lower Door;ZXDO1087425L;"Stor Wall w/Open Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,Up Wdrb & Low Dr-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door
Left Upper Shelves & File File Pedestal, Right Upper Wardrobe & File File Pedestal;ZXDO1087426L;"Stor Wall w/Open Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,Up Wdrb & FF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal
Left Upper Shelves & File File Pedestal, Right Upper Wardrobe & Box Box File Pedestal;ZXDO1087427L;"Stor Wall w/Open Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,Up Wdrb & BBF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal
Left Upper Shelves & Box Box File Pedestal, Right Upper Shelves & Lower Door;ZXDO1087431L;"Stor Wall w/Open Int,108""wx74""h,Up Shlvs & BBF Ped-L Twr Stor,Up Shlvs & Low Dr-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door
Left Upper Shelves & Box Box File Pedestal, Right Upper Shelves & File File Pedestal;ZXDO1087432L;"Stor Wall w/Open Int,108""wx74""h,Up Shlvs & BBF Ped-L Twr Stor,Up Shlvs & FF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal
Left Upper Shelves & Box Box File Pedestal, Right Upper Shelves & Box Box File Pedestal;ZXDO1087433L;"Stor Wall w/Open Int,108""wx74""h,Up Shlvs & BBF Ped-L Twr Stor,Up Shlvs & BBF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal
Left Upper Shelves & Box Box File Pedestal, Right Full Wardrobe;ZXDO1087434L;"Stor Wall w/Open Int,108""wx74""h,Up Shlvs & BBF Ped-L Twr Stor,Full Wdrb-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Full Wardrobe
Left Upper Shelves & Box Box File Pedestal, Right Upper Wardrobe & Lower Door;ZXDO1087435L;"Stor Wall w/Open Int,108""wx74""h,Up Shlvs & BBF Ped-L Twr Stor,Up Wdrb & Low Dr-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door
Left Upper Shelves & Box Box File Pedestal, Right Upper Wardrobe & File File Pedestal;ZXDO1087436L;"Stor Wall w/Open Int,108""wx74""h,Up Shlvs & BBF Ped-L Twr Stor,Up Wdrb & FF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal
Left Upper Shelves & Box Box File Pedestal, Right Upper Wardrobe & Box Box File Pedestal;ZXDO1087437L;"Stor Wall w/Open Int,108""wx74""h,Up Shlvs & BBF Ped-L Twr Stor,Up Wdrb & BBF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal
Left Full Wardrobe, Right Upper Shelves & Lower Door;ZXDO1087441L;"Stor Wall w/Open Int,108""wx74""h,Full Wdrb-L Twr Stor,Up Shlvs & Low Dr-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Full Wardrobe;Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door
Left Full Wardrobe, Right Upper Shelves & File File Pedestal;ZXDO1087442L;"Stor Wall w/Open Int,108""wx74""h,Full Wdrb-L Twr Stor,Up Shlvs & FF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Full Wardrobe;Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal
Left Full Wardrobe, Right Upper Shelves & Box Box File Pedestal;ZXDO1087443L;"Stor Wall w/Open Int,108""wx74""h,Full Wdrb-L Twr Stor,Up Shlvs & BBF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Full Wardrobe;Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal
Left Full Wardrobe, Right Full Wardrobe;ZXDO1087444L;"Stor Wall w/Open Int,108""wx74""h,Full Wdrb-L Twr Stor,Full Wdrb-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Full Wardrobe;Storage-Unit-Teknion-Tower : Full Wardrobe
Left Full Wardrobe, Right Upper Wardrobe & Lower Door;ZXDO1087445L;"Stor Wall w/Open Int,108""wx74""h,Full Wdrb-L Twr Stor,Up Wdrb & Low Dr-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Full Wardrobe;Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door
Left Full Wardrobe, Right Upper Wardrobe & File File Pedestal;ZXDO1087446L;"Stor Wall w/Open Int,108""wx74""h,Full Wdrb-L Twr Stor,Up Wdrb & FF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Full Wardrobe;Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal
Left Full Wardrobe, Right Upper Wardrobe & Box Box File Pedestal;ZXDO1087447L;"Stor Wall w/Open Int,108""wx74""h,Full Wdrb-L Twr Stor,Up Wdrb & BBF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Full Wardrobe;Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal
Left Upper Wardrobe & Lower Door, Right Upper Shelves & Lower Door;ZXDO1087451L;"Stor Wall w/Open Int,108""wx74""h,Up Wdrb & Low Dr-L Twr Stor,Up Shlvs & Low Dr-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door
Left Upper Wardrobe & Lower Door, Right Upper Shelves & File File Pedestal;ZXDO1087452L;"Stor Wall w/Open Int,108""wx74""h,Up Wdrb & Low Dr-L Twr Stor,Up Shlvs & FF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal
Left Upper Wardrobe & Lower Door, Right Upper Shelves & Box Box File Pedestal;ZXDO1087453L;"Stor Wall w/Open Int,108""wx74""h,Up Wdrb & Low Dr-L Twr Stor,Up Shlvs & BBF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal
Left Upper Wardrobe & Lower Door, Right Full Wardrobe;ZXDO1087454L;"Stor Wall w/Open Int,108""wx74""h,Up Wdrb & Low Dr-L Twr Stor,Full Wdrb-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;Storage-Unit-Teknion-Tower : Full Wardrobe
Left Upper Wardrobe & Lower Door, Right Upper Wardrobe & Lower Door;ZXDO1087455L;"Stor Wall w/Open Int,108""wx74""h,Up Wdrb & Low Dr-L Twr Stor,Up Wdrb & Low Dr-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door
Left Upper Wardrobe & Lower Door, Right Upper Wardrobe & File File Pedestal;ZXDO1087456L;"Stor Wall w/Open Int,108""wx74""h,Up Wdrb & Low Dr-L Twr Stor,Up Wdrb & FF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal
Left Upper Wardrobe & Lower Door, Right Upper Wardrobe & Box Box File Pedestal;ZXDO1087457L;"Stor Wall w/Open Int,108""wx74""h,Up Wdrb & Low Dr-L Twr Stor,Up Wdrb & BBF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal
Left Upper Wardrobe & File File Pedestal, Right Upper Shelves & Lower Door;ZXDO1087461L;"Stor Wall w/Open Int,108""wx74""h,Up Wdrb & FF Ped-L Twr Stor,Up Shlvs & Low Dr-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door
Left Upper Wardrobe & File File Pedestal, Right Upper Shelves & File File Pedestal;ZXDO1087462L;"Stor Wall w/Open Int,108""wx74""h,Up Wdrb & FF Ped-L Twr Stor,Up Shlvs & FF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal
Left Upper Wardrobe & File File Pedestal, Right Upper Shelves & Box Box File Pedestal;ZXDO1087463L;"Stor Wall w/Open Int,108""wx74""h,Up Wdrb & FF Ped-L Twr Stor,Up Shlvs & BBF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal
Left Upper Wardrobe & File File Pedestal, Right Full Wardrobe;ZXDO1087464L;"Stor Wall w/Open Int,108""wx74""h,Up Wdrb & FF Ped-L Twr Stor,Full Wdrb-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal;Storage-Unit-Teknion-Tower : Full Wardrobe
Left Upper Wardrobe & File File Pedestal, Right Upper Wardrobe & Lower Door;ZXDO1087465L;"Stor Wall w/Open Int,108""wx74""h,Up Wdrb & FF Ped-L Twr Stor,Up Wdrb & Low Dr-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door
Left Upper Wardrobe & File File Pedestal, Right Upper Wardrobe & File File Pedestal;ZXDO1087466L;"Stor Wall w/Open Int,108""wx74""h,Up Wdrb & FF Ped-L Twr Stor,Up Wdrb & FF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal
Left Upper Wardrobe & File File Pedestal, Right Upper Wardrobe & Box Box File Pedestal;ZXDO1087467L;"Stor Wall w/Open Int,108""wx74""h,Up Wdrb & FF Ped-L Twr Stor,Up Wdrb & BBF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal
Left Upper Wardrobe & Box Box File Pedestal, Right Upper Shelves & Lower Door;ZXDO1087471L;"Stor Wall w/Open Int,108""wx74""h,Up Wdrb & BBF Ped-L Twr Stor,Up Shlvs & Low Dr-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door
Left Upper Wardrobe & Box Box File Pedestal, Right Upper Shelves & File File Pedestal;ZXDO1087472L;"Stor Wall w/Open Int,108""wx74""h,Up Wdrb & BBF Ped-L Twr Stor,Up Shlvs & FF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal
Left Upper Wardrobe & Box Box File Pedestal, Right Upper Shelves & Box Box File Pedestal;ZXDO1087473L;"Stor Wall w/Open Int,108""wx74""h,Up Wdrb & BBF Ped-L Twr Stor,Up Shlvs & BBF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal
Left Upper Wardrobe & Box Box File Pedestal, Right Full Wardrobe;ZXDO1087474L;"Stor Wall w/Open Int,108""wx74""h,Up Wdrb & BBF Ped-L Twr Stor,Full Wdrb-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Full Wardrobe
Left Upper Wardrobe & Box Box File Pedestal, Right Upper Wardrobe & Lower Door;ZXDO1087475L;"Stor Wall w/Open Int,108""wx74""h,Up Wdrb & BBF Ped-L Twr Stor,Up Wdrb & Low Dr-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door
Left Upper Wardrobe & Box Box File Pedestal, Right Upper Wardrobe & File File Pedestal;ZXDO1087476L;"Stor Wall w/Open Int,108""wx74""h,Up Wdrb & BBF Ped-L Twr Stor,Up Wdrb & FF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal
Left Upper Wardrobe & Box Box File Pedestal, Right Upper Wardrobe & Box Box File Pedestal;ZXDO1087477L;"Stor Wall w/Open Int,108""wx74""h,Up Wdrb & BBF Ped-L Twr Stor,Up Wdrb & BBF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
